##### TRACK CONTEXT vs INFILLING STATS #####
Filename | Context Mean | Context Std. Dev. | Context Max | Context Min | Infilling Mean | Infilling Std. Dev. | Infilling Max | Infilling Min
track2_infill_bars46_50_generationtime_10.66861891746521.midi | 3.00 | 1.00 | 4 | 2 | 2.75 | 0.83 | 4 | 2
track2_infill_bars46_50_generationtime_8.663253784179688.midi | 3.00 | 1.00 | 4 | 2 | 1.50 | 0.50 | 2 | 1
track2_infill_bars46_50_generationtime_9.44500207901001.midi | 3.00 | 1.00 | 4 | 2 | 2.00 | 0.00 | 2 | 2
track2_infill_bars47_51_generationtime_11.052174806594849.midi | 3.00 | 1.00 | 4 | 2 | 3.25 | 1.30 | 4 | 1
track2_infill_bars47_51_generationtime_13.544762372970581.midi | 3.00 | 1.00 | 4 | 2 | 2.75 | 1.30 | 4 | 1
track2_infill_bars47_51_generationtime_9.814532995223999.midi | 3.00 | 1.00 | 4 | 2 | 1.25 | 0.43 | 2 | 1
track2_infill_bars48_52_generationtime_13.350284337997437.midi | 2.62 | 1.11 | 4 | 1 | 3.50 | 0.87 | 4 | 2
track2_infill_bars48_52_generationtime_5.734307289123535.midi | 2.62 | 1.11 | 4 | 1 | 2.50 | 0.87 | 3 | 1
track2_infill_bars48_52_generationtime_9.043237209320068.midi | 2.62 | 1.11 | 4 | 1 | 1.75 | 0.43 | 2 | 1
track2_infill_bars60_64_generationtime_13.146972179412842.midi | 2.75 | 0.97 | 4 | 2 | 5.00 | 1.73 | 8 | 4
track2_infill_bars60_64_generationtime_16.563050031661987.midi | 2.75 | 0.97 | 4 | 2 | 3.50 | 0.87 | 4 | 2
track2_infill_bars60_64_generationtime_8.940272808074951.midi | 2.75 | 0.97 | 4 | 2 | 3.50 | 0.87 | 4 | 2
track2_infill_bars66_70_generationtime_11.987989664077759.midi | 2.75 | 0.97 | 4 | 2 | 4.00 | 0.00 | 4 | 4
track2_infill_bars66_70_generationtime_16.47200918197632.midi | 2.75 | 0.97 | 4 | 2 | 3.50 | 0.87 | 4 | 2
track2_infill_bars66_70_generationtime_9.04799222946167.midi | 2.75 | 0.97 | 4 | 2 | 4.00 | 1.41 | 6 | 2
track2_infill_bars69_73_generationtime_10.685407400131226.midi | 3.25 | 0.97 | 4 | 2 | 3.50 | 0.87 | 4 | 2
track2_infill_bars69_73_generationtime_12.094593286514282.midi | 3.25 | 0.97 | 4 | 2 | 3.50 | 0.87 | 4 | 2
track2_infill_bars69_73_generationtime_15.586368083953857.midi | 3.25 | 0.97 | 4 | 2 | 4.00 | 0.00 | 4 | 4
track2_infill_bars72_76_generationtime_13.799206495285034.midi | 3.50 | 0.87 | 4 | 2 | 3.50 | 0.87 | 4 | 2
track2_infill_bars72_76_generationtime_18.984814167022705.midi | 3.50 | 0.87 | 4 | 2 | 3.50 | 0.87 | 4 | 2
track2_infill_bars72_76_generationtime_24.434516429901123.midi | 3.50 | 0.87 | 4 | 2 | 5.50 | 2.60 | 8 | 2
track2_infill_bars82_86_generationtime_7.078932046890259.midi | 1.12 | 1.36 | 4 | 0 | 2.00 | 0.71 | 3 | 1
track2_infill_bars82_86_generationtime_7.33772349357605.midi | 1.12 | 1.36 | 4 | 0 | 0.75 | 0.83 | 2 | 0
track2_infill_bars82_86_generationtime_7.427017450332642.midi | 1.12 | 1.36 | 4 | 0 | 2.00 | 0.00 | 2 | 2
track2_infill_bars82_86_generationtime_7.438790559768677.midi | 1.12 | 1.36 | 4 | 0 | 1.25 | 1.30 | 3 | 0
track2_infill_bars82_86_generationtime_9.494330167770386.midi | 1.12 | 1.36 | 4 | 0 | 4.00 | 0.00 | 4 | 4
track2_infill_bars82_86_generationtime_9.683245658874512.midi | 1.12 | 1.36 | 4 | 0 | 0.75 | 0.43 | 1 | 0
track2_infill_bars97_101_generationtime_12.700285196304321.midi | 0.25 | 0.43 | 1 | 0 | 3.75 | 1.79 | 6 | 1
track2_infill_bars97_101_generationtime_6.8944361209869385.midi | 0.25 | 0.43 | 1 | 0 | 2.50 | 3.77 | 9 | 0
track2_infill_bars97_101_generationtime_8.578731060028076.midi | 0.25 | 0.43 | 1 | 0 | 3.75 | 1.09 | 5 | 2
track3_infill_bars110_114_generationtime_10.345791578292847.midi | 2.12 | 0.93 | 3 | 1 | 2.00 | 1.22 | 4 | 1
track3_infill_bars110_114_generationtime_17.054774045944214.midi | 2.12 | 0.93 | 3 | 1 | 1.75 | 1.30 | 4 | 1
track3_infill_bars110_114_generationtime_7.8216469287872314.midi | 2.12 | 0.93 | 3 | 1 | 2.25 | 1.30 | 4 | 1
track3_infill_bars132_136_generationtime_7.001909494400024.midi | 2.88 | 1.17 | 5 | 1 | 3.50 | 1.12 | 5 | 2
track3_infill_bars132_136_generationtime_7.2769646644592285.midi | 2.88 | 1.17 | 5 | 1 | 3.75 | 0.83 | 5 | 3
