##### GLOBAL STATISTICS #####
N-gram | Mean | Std. Dev. | Median | Min | Max
---------------------------------------------
2-note | 2.50 | 2.10 | 2.00 | 0 | 9
3-note | 2.70 | 2.73 | 2.00 | 0 | 11
4-note | 2.91 | 3.45 | 2.00 | 0 | 14
2-note-ratio | 40.87 | 33.99 | 40.00 | 0.0 | 100.0
3-note-ratio | 31.41 | 33.33 | 22.22 | 0.0 | 100.0
4-note-ratio | 27.06 | 32.35 | 14.29 | 0.0 | 100.0

##### FILE-SPECIFIC N-GRAM REPETITIONS #####
Filename | 2-note | 3-note | 4-note | 2-note-ratio | 3-note-ratio | 4-note-ratio
track2_infill_bars14_18_generationtime_11.53005576133728.midi | 2 | 3 | 3 | 28.57 | 33.33 | 33.33
track2_infill_bars14_18_generationtime_5.986170768737793.midi | 3 | 4 | 4 | 42.86 | 44.44 | 44.44
track2_infill_bars14_18_generationtime_6.506027698516846.midi | 2 | 2 | 2 | 28.57 | 22.22 | 22.22
track2_infill_bars18_22_generationtime_5.812007427215576.midi | 1 | 1 | 1 | 20.00 | 16.67 | 14.29
track2_infill_bars18_22_generationtime_5.885004043579102.midi | 1 | 1 | 1 | 20.00 | 16.67 | 14.29
track2_infill_bars18_22_generationtime_6.243994951248169.midi | 1 | 1 | 1 | 20.00 | 16.67 | 14.29
track2_infill_bars21_25_generationtime_11.770995378494263.midi | 3 | 5 | 7 | 100.00 | 100.00 | 100.00
track2_infill_bars21_25_generationtime_6.2120208740234375.midi | 1 | 1 | 1 | 33.33 | 20.00 | 14.29
track2_infill_bars21_25_generationtime_6.529999494552612.midi | 2 | 3 | 4 | 66.67 | 60.00 | 57.14
track2_infill_bars31_35_generationtime_11.650994539260864.midi | 2 | 2 | 2 | 50.00 | 28.57 | 22.22
track2_infill_bars31_35_generationtime_6.556996583938599.midi | 2 | 2 | 2 | 50.00 | 28.57 | 22.22
track2_infill_bars31_35_generationtime_6.842999696731567.midi | 2 | 3 | 3 | 50.00 | 42.86 | 33.33
track2_infill_bars38_42_generationtime_10.223361015319824.midi | 2 | 2 | 1 | 50.00 | 33.33 | 14.29
track2_infill_bars38_42_generationtime_13.764520406723022.midi | 2 | 2 | 1 | 50.00 | 33.33 | 14.29
track2_infill_bars38_42_generationtime_9.768852233886719.midi | 2 | 2 | 1 | 50.00 | 33.33 | 14.29
track2_infill_bars46_50_generationtime_10.66861891746521.midi | 7 | 10 | 11 | 87.50 | 71.43 | 64.71
track2_infill_bars46_50_generationtime_8.663253784179688.midi | 5 | 5 | 4 | 62.50 | 35.71 | 23.53
track2_infill_bars46_50_generationtime_9.44500207901001.midi | 4 | 6 | 7 | 50.00 | 42.86 | 41.18
track2_infill_bars47_51_generationtime_11.052174806594849.midi | 5 | 7 | 8 | 55.56 | 46.67 | 40.00
track2_infill_bars47_51_generationtime_13.544762372970581.midi | 5 | 7 | 9 | 55.56 | 46.67 | 45.00
track2_infill_bars47_51_generationtime_9.814532995223999.midi | 3 | 3 | 3 | 33.33 | 20.00 | 15.00
track2_infill_bars48_52_generationtime_13.350284337997437.midi | 7 | 9 | 10 | 77.78 | 60.00 | 52.63
track2_infill_bars48_52_generationtime_5.734307289123535.midi | 2 | 0 | 0 | 22.22 | 0.00 | 0.00
track2_infill_bars48_52_generationtime_9.043237209320068.midi | 3 | 3 | 2 | 33.33 | 20.00 | 10.53
track2_infill_bars60_64_generationtime_13.146972179412842.midi | 3 | 4 | 4 | 75.00 | 66.67 | 57.14
track2_infill_bars60_64_generationtime_16.563050031661987.midi | 3 | 4 | 4 | 75.00 | 66.67 | 57.14
track2_infill_bars60_64_generationtime_8.940272808074951.midi | 3 | 4 | 4 | 75.00 | 66.67 | 57.14
track2_infill_bars66_70_generationtime_11.987989664077759.midi | 4 | 6 | 7 | 80.00 | 75.00 | 70.00
track2_infill_bars66_70_generationtime_16.47200918197632.midi | 3 | 4 | 4 | 60.00 | 50.00 | 40.00
track2_infill_bars66_70_generationtime_9.04799222946167.midi | 2 | 2 | 2 | 40.00 | 25.00 | 20.00
track2_infill_bars69_73_generationtime_10.685407400131226.midi | 2 | 2 | 2 | 40.00 | 25.00 | 18.18
track2_infill_bars69_73_generationtime_12.094593286514282.midi | 2 | 2 | 2 | 40.00 | 25.00 | 18.18
track2_infill_bars69_73_generationtime_15.586368083953857.midi | 3 | 4 | 5 | 60.00 | 50.00 | 45.45
track2_infill_bars72_76_generationtime_13.799206495285034.midi | 3 | 4 | 5 | 50.00 | 40.00 | 35.71
track2_infill_bars72_76_generationtime_18.984814167022705.midi | 4 | 6 | 8 | 66.67 | 60.00 | 57.14
track2_infill_bars72_76_generationtime_24.434516429901123.midi | 3 | 4 | 5 | 50.00 | 40.00 | 35.71
track2_infill_bars82_86_generationtime_7.078932046890259.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars82_86_generationtime_7.33772349357605.midi | 2 | 2 | 1 | 66.67 | 50.00 | 25.00
track2_infill_bars82_86_generationtime_7.427017450332642.midi | 1 | 0 | 0 | 33.33 | 0.00 | 0.00
track2_infill_bars82_86_generationtime_7.438790559768677.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars82_86_generationtime_9.494330167770386.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars82_86_generationtime_9.683245658874512.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars97_101_generationtime_12.700285196304321.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars97_101_generationtime_6.8944361209869385.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars97_101_generationtime_8.578731060028076.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track3_infill_bars110_114_generationtime_10.345791578292847.midi | 4 | 3 | 4 | 26.67 | 12.50 | 13.33
track3_infill_bars110_114_generationtime_17.054774045944214.midi | 6 | 5 | 3 | 40.00 | 20.83 | 10.00
track3_infill_bars110_114_generationtime_7.8216469287872314.midi | 4 | 3 | 1 | 26.67 | 12.50 | 3.33
track3_infill_bars132_136_generationtime_7.001909494400024.midi | 4 | 1 | 0 | 30.77 | 4.35 | 0.00
track3_infill_bars132_136_generationtime_7.2769646644592285.midi | 5 | 0 | 0 | 38.46 | 0.00 | 0.00
track3_infill_bars132_136_generationtime_8.645986080169678.midi | 5 | 2 | 1 | 38.46 | 8.70 | 4.00
track3_infill_bars136_140_generationtime_12.012685537338257.midi | 4 | 4 | 0 | 30.77 | 16.00 | 0.00
track3_infill_bars136_140_generationtime_15.38215684890747.midi | 6 | 3 | 1 | 46.15 | 12.00 | 3.33
track3_infill_bars136_140_generationtime_18.429195404052734.midi | 9 | 11 | 9 | 69.23 | 44.00 | 30.00
track3_infill_bars13_17_generationtime_4.327520132064819.midi | 2 | 0 | 0 | 28.57 | 0.00 | 0.00
track3_infill_bars13_17_generationtime_4.555723190307617.midi | 2 | 0 | 0 | 28.57 | 0.00 | 0.00
track3_infill_bars13_17_generationtime_4.978977918624878.midi | 3 | 1 | 0 | 42.86 | 11.11 | 0.00
track3_infill_bars140_144_generationtime_4.80399227142334.midi | 5 | 4 | 0 | 35.71 | 22.22 | 0.00
track3_infill_bars140_144_generationtime_5.649003982543945.midi | 4 | 3 | 2 | 28.57 | 16.67 | 11.11
track3_infill_bars140_144_generationtime_6.316004276275635.midi | 5 | 5 | 3 | 35.71 | 27.78 | 16.67
track3_infill_bars141_145_generationtime_8.21563982963562.midi | 5 | 6 | 5 | 50.00 | 46.15 | 35.71
